Name	Company	TICKER	Total Compensation ($ Million)	Total Revenue ($ Billion)	Log Total Compensation	Log Total Revenue
Paul D. Arling	UNIVERSAL ELECTRONICS INC	UEIC	$1.62 	$0.33 	6.208	-0.479
Michael B. Glenn	UNIVERSAL FOREST PRODS INC	UFPI	$1.23 	$1.89 	6.089	0.277
Alan B. Miller	UNIVERSAL HEALTH RLTY INCOME	UHT	$0.09 	$0.03 	4.935	-1.497
Alan B. Miller	UNIVERSAL HEALTH SVCS INC	UHS	$9.85 	$5.57 	6.993	0.746
Kimberly J. McWaters	UNIVERSAL TECHNICAL INST	UTI	$2.25 	$0.44 	6.352	-0.361
Thomas Watjen	UNUM GROUP	UNM	$11.49 	$10.19 	7.06	1.008
Glen T. Senk	URBAN OUTFITTERS INC	URBN	$2.51 	$2.27 	6.4	0.357
Martin M. Koffel	URS CORP	URS	$6.70 	$9.18 	6.826	0.963
Charles J. Urstadt	URSTADT BIDDLE PROPERTIES	UBA	$1.51 	$0.09 	6.178	-1.067
Vincent D. Kelly	USA MOBILITY INC	USMO	$2.07 	$0.23 	6.315	-0.632
David A. Wentz	USANA HEALTH SCIENCES INC	USNA	$1.97 	$0.52 	6.294	-0.286
William C. Foote	USG CORP	USG	$9.21 	$2.94 	6.964	0.468
Eric W. Kirchner	UTI WORLDWIDE INC	UTIW	$3.30 	$4.55 	6.518	0.658
Peter Blackmore	UTSTARCOM HOLDINGS CORP	UTSI	$2.93 	$0.29 	6.467	-0.535
Alan F. Schultz	VALASSIS COMMUNICATIONS INC	VCI	$15.24 	$2.33 	7.183	0.368
Robert L. Kanode	VALENCE TECHNOLOGY INC	VLNC	$0.75 	$0.05 	5.874	-1.338
William R. Klesse	VALERO ENERGY CORP	VLO	$11.10 	$81.34 	7.045	1.91
Gerald H. Lipkin	VALLEY NATIONAL BANCORP	VLY	$2.44 	$0.77 	6.387	-0.115
Mogens C. Bay	VALMONT INDUSTRIES INC	VMI	$3.45 	$1.98 	6.538	0.296
William L. Mansfield	VALSPAR CORP	VAL	$8.43 	$3.23 	6.926	0.509
James R. Zarley	VALUECLICK INC	VCLK	$1.44 	$0.43 	6.157	-0.366
Timothy E. Guertin	VARIAN MEDICAL SYSTEMS INC	VAR	$7.70 	$2.36 	6.887	0.372
Gary E. Dickerson	VARIAN SEMICONDUCTOR EQUIPMT	VSEA	$5.02 	$0.83 	6.7	-0.08
Robert L. Antin	VCA ANTECH INC	WOOF	$5.27 	$1.38 	6.722	0.14
Carl L. Chapman	VECTREN CORP	VVC	$2.16 	$2.13 	6.334	0.328
John Peeler	VEECO INSTRUMENTS INC	VECO	$4.62 	$0.93 	6.665	-0.03
Debra A. Cafaro, J.D.	VENTAS INC	VTR	$8.54 	$1.02 	6.932	0.007
Douglas G. Bergeron	VERIFONE SYSTEMS INC	PAY	$7.22 	$1.00 	6.859	0.001
Mark D. McLaughlin, J.D.	VERISIGN INC	VRSN	$4.57 	$0.68 	6.659	-0.167
Ivan G. Seidenberg	VERIZON COMMUNICATIONS INC	VZ	$18.17 	$106.83 	7.259	2.029
Matthew Emmens	VERTEX PHARMACEUTICALS INC	VRTX	$14.91 	$0.14 	7.174	-0.844
Peter A. Corrao	VERTRO INC	VTRO	$0.94 	$0.04 	5.973	-1.445
Eric C. Wiseman	VF CORP	VFC	$9.33 	$7.70 	6.97	0.887
Philippe P. Dauman	VIACOM INC	VIA.B	$84.52 	$9.34 	7.927	0.97
Paul Dykstra	VIAD CORP	VVI	$2.84 	$0.85 	6.453	-0.073
Mark D. Dankberg	VIASAT INC	VSAT	$4.48 	$0.80 	6.651	-0.096
Patrizio Vinciarelli	VICOR CORP	VICR	$1.12 	$0.25 	6.049	-0.601
Vincent J. Milano	VIROPHARMA INC	VPHM	$2.40 	$0.44 	6.381	-0.358
Krishan A. Canekeratne	VIRTUSA CORP	VRTU	$1.49 	$0.22 	6.173	-0.662
Joseph W. Saunders	VISA INC	V	$12.92 	$8.07 	7.111	0.907
Gerald Paul	VISHAY INTERTECHNOLOGY INC	VSH	$14.04 	$2.73 	7.147	0.435
Donald J. Stebbins	VISTEON CORP	VC	$26.92 	$7.47 	7.43	0.873
Richard L. Markee	VITAMIN SHOPPE INC	VSI	$1.49 	$0.75 	6.172	-0.124
Christopher Gardner	VITESSE SEMICONDUCTOR CORP	VTSS	$1.43 	$0.17 	6.156	-0.78
Richard R. Woolcott	VOLCOM INC	VLCM	$0.81 		5.908	
Jefrey Staszak	VOLTERRA SEMICONDUCTOR CORP	VLTR	$1.65 	$0.15 	6.218	-0.814
Michael D. Fascitelli	VORNADO REALTY TRUST	VNO	$9.94 	$3.11 	6.997	0.493
Donald M. James	VULCAN MATERIALS CO	VMC	$8.07 	$2.56 	6.907	0.408
Richard J. Giromini	WABASH NATIONAL CORP	WNC	$2.43 	$0.64 	6.386	-0.194
Albert J. Neupaver	WABTEC CORP	WAB	$5.02 	$1.51 	6.701	0.178
Henry John Herrmann, CFA	WADDELL&REED FINL INC  -CL A	WDR	$6.31 	$1.05 	6.8	0.023
Mike Duke	WAL-MART STORES INC	WMT	$18.71 	$420.02 	7.272	2.623
Gregory D. Wasson, R.ph	WALGREEN CO	WAG	$8.03 	$67.42 	6.905	1.829
Joseph R. Gromek	WARNACO GROUP INC	WRC	$8.26 	$2.30 	6.917	0.361
Roy Whitehead	WASHINGTON FED INC	WFSL	$1.44 	$0.63 	6.157	-0.203
Don Graham	WASHINGTON POST  -CL B	WPO	$0.43 	$4.72 	5.633	0.674
Ronald J. Mittelstaedt	WASTE CONNECTIONS INC	WCN	$2.93 	$1.32 	6.467	0.12
David P. Steiner	WASTE MANAGEMENT INC	WM	$6.96 	$12.52 	6.843	1.097
Douglas A. Berthiaume	WATERS CORP	WAT	$2.44 	$1.64 	6.388	0.216
Albert H. Nahmad	WATSCO INC	WSO	$20.39 	$2.85 	7.309	0.454
Paul M. Bisaro	WATSON PHARMACEUTICALS INC	WPI	$5.62 	$3.57 	6.75	0.552
Patrick S. O'Keefe	WATTS WATER TECHNOLOGIES INC	WTS	$3.45 	$1.28 	6.538	0.105
Thomas J. Howatt	WAUSAU PAPER CORP	WPP	$4.54 	$1.06 	6.657	0.024
Garry O. Ridge	WD-40 CO	WDFC	$1.71 	$0.32 	6.232	-0.493
Bernard J. Duroc-Danner, Ph.D.	WEATHERFORD INTL LTD	WFT	$13.16 	$10.22 	7.119	1.009
Gene Hodges	WEBSENSE INC	WBSN	$2.98 	$0.33 	6.475	-0.478
James C. Smith	WEBSTER FINANCIAL CORP	WBS	$2.98 	$0.91 	6.474	-0.04
David P. Kirchhoff	WEIGHT WATCHERS INTL INC	WTW	$2.42 	$1.45 	6.383	0.162
Andrew M. Alexander	WEINGARTEN REALTY INVST	WRI	$3.82 	$0.58 	6.582	-0.239
Alexander R. Cunningham	WELLCARE HEALTH PLANS INC	WCG	$3.27 	$5.44 	6.514	0.736
Angela F. Braly	WELLPOINT INC	WLP	$13.46 	$58.80 	7.129	1.769
John G. Stumpf	WELLS FARGO & CO	WFC	$18.97 	$93.25 	7.278	1.97
Roland C. Smith	WENDY'S CO	WEN	$4.91 	$3.42 	6.691	0.534
Gregory L. Werner	WERNER ENTERPRISES INC	WERN	$1.72 	$1.82 	6.235	0.259
Donald E. Morel, Jr., Ph.D.	WEST PHARMACEUTICAL SVSC INC	WST	$4.95 	$1.11 	6.694	0.043
David L. Payne	WESTAMERICA BANCORPORATION	WABC	$0.64 	$0.28 	5.808	-0.549
William B. Moore	WESTAR ENERGY INC	WR	$5.92 	$2.06 	6.773	0.313
John F. Coyne	WESTERN DIGITAL CORP	WDC	$7.03 	$9.85 	6.847	0.993
Christina A. Gold	WESTERN UNION CO	WU	$7.75 	$5.19 	6.889	0.715
Roderick M. Sherwood, III	WESTWOOD ONE INC	WWON	$3.69 	$0.36 	6.567	-0.441
Edmond S. Thomas	WET SEAL INC  -CL A	WTSLA	$1.54 	$0.58 	6.186	-0.236
Daniel S. Fulton	WEYERHAEUSER CO	WY	$5.89 	$6.55 	6.77	0.816
Terry D. McCallister	WGL HOLDINGS INC	WGL	$3.66 	$2.71 	6.563	0.433
Jeff M. Fettig	WHIRLPOOL CORP	WHR	$14.44 	$18.37 	7.16	1.264
John C. Hope, III	WHITNEY HOLDING CORP	WTNY	$1.64 		6.215	
John P. Mackey	WHOLE FOODS MARKET INC	WFM	$0.05 	$9.01 	4.662	0.955
William J. Pesce	WILEY (JOHN) & SONS  -CL A	JW.A	$5.33 	$1.74 	6.727	0.241
Mark E. Schwarz	WILHELMINA INTERNATIONAL INC	3WHLM	$0.18 	$0.05 	5.243	-1.31
Steven J. Malcolm	WILLIAMS COS INC	WMB	$8.00 	$9.62 	6.903	0.983
Laura J. Alber	WILLIAMS-SONOMA INC	WSM	$13.56 	$3.50 	7.132	0.545
Donald E. Foley	WILMINGTON TRUST CORP	WL	$1.19 		6.074	
Joanne Kim	WILSHIRE BANCORP INC	WIBC	$0.31 	$0.19 	5.497	-0.716
Jeff Gardner	WINDSTREAM CORP	WIN	$7.30 	$3.71 	6.863	0.57
Peter L. Lynch	WINN-DIXIE STORES INC	WINN	$5.33 	$7.25 	6.727	0.86
Robert J. Olson	WINNEBAGO INDUSTRIES	WGO	$0.40 	$0.45 	5.605	-0.347
Edward Joseph Wehmer	WINTRUST FINANCIAL CORP	WTFC	$2.44 	$0.74 	6.387	-0.13
Gale E. Klappa	WISCONSIN ENERGY CORP	WEC	$10.32 	$4.20 	7.014	0.624
Brian R. Gamache	WMS INDUSTRIES INC	WMS	$4.76 	$0.77 	6.677	-0.116
Blake W. Krueger	WOLVERINE WORLD WIDE	WWW	$6.32 	$1.25 	6.801	0.096
Thomas A. Gendron	WOODWARD GOVERNOR CO	WWD	$2.80 	$1.46 	6.448	0.163
A. Alexander McLean, III	WORLD ACCEPTANCE CORP/DE	WRLD	$1.88 	$0.49 	6.273	-0.309
Paul H. Stebbins	WORLD FUEL SERVICES CORP	INT	$2.63 	$19.13 	6.419	1.282
John P. McConnell	WORTHINGTON INDUSTRIES	WOR	$3.55 	$2.44 	6.55	0.388
Michael E. Dubyak	WRIGHT EXPRESS CORP	WXS	$4.24 	$0.39 	6.627	-0.408
Stephen P. Holmes	WYNDHAM WORLDWIDE CORP	WYN	$9.50 	$3.85 	6.978	0.586
Stephen A. Wynn	WYNN RESORTS LTD	WYNN	$14.62 	$4.19 	7.165	0.622
Thomas J. Vacchiano, Jr.	X-RITE INC	XRIT	$0.75 	$0.22 	5.875	-0.652
Richard C. Kelly	XCEL ENERGY INC	XEL	$9.96 	$10.31 	6.998	1.013
Ursula M. Burns	XEROX CORP	XRX	$13.22 	$21.63 	7.121	1.335
Moshe N. Gavrielov	XILINX INC	XLNX	$4.13 	$2.37 	6.616	0.375
Michael S. McGavick	XL GROUP PLC	XL	$10.48 	$6.35 	7.02	0.803
David Liu	XO GROUP INC	XOXO	$0.57 	$0.11 	5.755	-0.951
Steven B. Engle	XOMA LTD	XOMA	$1.52 	$0.03 	6.182	-1.473
Carol A. Bartz, Ph.D.	YAHOO INC	YHOO	$11.95 	$6.33 	7.077	0.801
William D. Zollars	YRC WORLDWIDE INC	YRCW	$2.15 	$4.34 	6.333	0.637
David C. Novak	YUM BRANDS INC	YUM	$14.61 	$11.34 	7.165	1.055
Theo Killion	ZALE CORP	ZLC	$1.01 	$1.62 	6.004	0.209
Anders Gustafsson	ZEBRA TECHNOLOGIES CP  -CL A	ZBRA	$7.77 	$0.96 	6.89	-0.019
John K. Morgan	ZEP INC	ZEP	$2.26 	$0.57 	6.355	-0.246
David Dvorak	ZIMMER HOLDINGS INC	ZMH	$9.56 	$4.22 	6.98	0.625
H. H. Simmons	ZIONS BANCORPORATION	ZION	$1.81 	$2.75 	6.257	0.439
Richard D. Spurr	ZIX CORP	ZIXI	$0.51 	$0.03 	5.706	-1.481
Richard A. Packer	ZOLL MEDICAL CORP	ZOLL	$1.03 	$0.44 	6.015	-0.353
Richard M. Brooks, Jr.	ZUMIEZ INC	ZUMZ	$0.52 	$0.48 	5.72	-0.32
